Element	Ion	Isotope	lambda	r_lambda	loggf	e_loggf	r_loggf	gfflag	synflag	Labellow	Jlow	Elow	r_Elow	Labelup	Jup	Eup	r_Eup	Rad-damp	r_Rad-damp	Sta-damp	r_Sta-damp	Vdw-damp	r_Vdw-damp
Fe	1	0	5483.0987	K07	-1.392	0.019	BWL+GESHRL14	Y	U	'  LS                                                                  3p6.3d7.(4F).4p y5D*'	3.0	4.154	K07	'  LS                                                         3p6.3d6.(5D).4s.\ (4D).5s e3D'	2.0	6.415	K07	8.54	K07	-5.57	K07	737.241	BA-J,BPM
Co	1	0	5483.3101	K08	-2.04		1999ApJS..122..557N	Y	U	'  LS                                                                       3p6.3d7.4s2 a4P'	2.5	1.71	K08	'  LS                                                                  3p6.3d8.(3F).4p y4D*'	3.5	3.971	K08	7.9	K08	-6.18	K08	291.259	BA-J,BPM
Co	1	0	5483.3331	K08	-2.181		1999ApJS..122..557N	Y	U	'  LS                                                                       3p6.3d7.4s2 a4P'	2.5	1.71	K08	'  LS                                                                  3p6.3d8.(3F).4p y4D*'	3.5	3.971	K08	7.9	K08	-6.18	K08	291.259	BA-J,BPM
Co	1	0	5483.3514	K08	-2.234		1999ApJS..122..557N	Y	U	'  LS                                                                       3p6.3d7.4s2 a4P'	2.5	1.71	K08	'  LS                                                                  3p6.3d8.(3F).4p y4D*'	3.5	3.971	K08	7.9	K08	-6.18	K08	291.259	BA-J,BPM
Co	1	0	5483.3678	K08	-2.298		1999ApJS..122..557N	Y	U	'  LS                                                                       3p6.3d7.4s2 a4P'	2.5	1.71	K08	'  LS                                                                  3p6.3d8.(3F).4p y4D*'	3.5	3.971	K08	7.9	K08	-6.18	K08	291.259	BA-J,BPM
Co	1	0	5483.3814	K08	-2.405		1999ApJS..122..557N	Y	U	'  LS                                                                       3p6.3d7.4s2 a4P'	2.5	1.71	K08	'  LS                                                                  3p6.3d8.(3F).4p y4D*'	3.5	3.971	K08	7.9	K08	-6.18	K08	291.259	BA-J,BPM
Co	1	0	5483.3941	K08	-2.269		1999ApJS..122..557N	Y	U	'  LS                                                                       3p6.3d7.4s2 a4P'	2.5	1.71	K08	'  LS                                                                  3p6.3d8.(3F).4p y4D*'	3.5	3.971	K08	7.9	K08	-6.18	K08	291.259	BA-J,BPM
Co	1	0	5483.4075	K08	-2.521		1999ApJS..122..557N	Y	U	'  LS                                                                       3p6.3d7.4s2 a4P'	2.5	1.71	K08	'  LS                                                                  3p6.3d8.(3F).4p y4D*'	3.5	3.971	K08	7.9	K08	-6.18	K08	291.259	BA-J,BPM
Co	1	0	5483.8759	K08	-1.153		1982ApJ...260..395C	Y	U	'  LS                                                         3p6.3d7.(4F).4s.4p.(3P*) z4D*'	3.5	3.632	K08	'  LS                                                                3p6.3d7.4s.(5F).5s f4F'	4.5	5.892	K08	8.08	K08	-5.47	K08	779.239	BA-J,BPM
Co	1	0	5483.9096	K08	-1.258		1982ApJ...260..395C	Y	U	'  LS                                                         3p6.3d7.(4F).4s.4p.(3P*) z4D*'	3.5	3.632	K08	'  LS                                                                3p6.3d7.4s.(5F).5s f4F'	4.5	5.892	K08	8.08	K08	-5.47	K08	779.239	BA-J,BPM
Co	1	0	5483.9401	K08	-1.374		1982ApJ...260..395C	Y	U	'  LS                                                         3p6.3d7.(4F).4s.4p.(3P*) z4D*'	3.5	3.632	K08	'  LS                                                                3p6.3d7.4s.(5F).5s f4F'	4.5	5.892	K08	8.08	K08	-5.47	K08	779.239	BA-J,BPM
Co	1	0	5483.9666	K08	-1.417		1982ApJ...260..395C	Y	U	'  LS                                                         3p6.3d7.(4F).4s.4p.(3P*) z4D*'	3.5	3.632	K08	'  LS                                                                3p6.3d7.4s.(5F).5s f4F'	4.5	5.892	K08	8.08	K08	-5.47	K08	779.239	BA-J,BPM
Co	1	0	5483.9898	K08	-1.473		1982ApJ...260..395C	Y	U	'  LS                                                         3p6.3d7.(4F).4s.4p.(3P*) z4D*'	3.5	3.632	K08	'  LS                                                                3p6.3d7.4s.(5F).5s f4F'	4.5	5.892	K08	8.08	K08	-5.47	K08	779.239	BA-J,BPM
Co	1	0	5484.0098	K08	-1.546		1982ApJ...260..395C	Y	U	'  LS                                                         3p6.3d7.(4F).4s.4p.(3P*) z4D*'	3.5	3.632	K08	'  LS                                                                3p6.3d7.4s.(5F).5s f4F'	4.5	5.892	K08	8.08	K08	-5.47	K08	779.239	BA-J,BPM
Co	1	0	5484.0264	K08	-1.639		1982ApJ...260..395C	Y	U	'  LS                                                         3p6.3d7.(4F).4s.4p.(3P*) z4D*'	3.5	3.632	K08	'  LS                                                                3p6.3d7.4s.(5F).5s f4F'	4.5	5.892	K08	8.08	K08	-5.47	K08	779.239	BA-J,BPM
Co	1	0	5484.0427	K08	-1.469		1982ApJ...260..395C	Y	U	'  LS                                                         3p6.3d7.(4F).4s.4p.(3P*) z4D*'	3.5	3.632	K08	'  LS                                                                3p6.3d7.4s.(5F).5s f4F'	4.5	5.892	K08	8.08	K08	-5.47	K08	779.239	BA-J,BPM
Co	1	0	5484.0651	K08	-2.219		1982ApJ...260..395C	Y	U	'  LS                                                         3p6.3d7.(4F).4s.4p.(3P*) z4D*'	3.5	3.632	K08	'  LS                                                                3p6.3d7.4s.(5F).5s f4F'	4.5	5.892	K08	8.08	K08	-5.47	K08	779.239	BA-J,BPM
Sc	1	0	5484.6157	LD	-0.242		LD	Y	U	'  LS                                                                      3d2.(3F).4s   2F'	2.5	1.851	LD	'  LS                                                                     3d2.(3F).4p   2F*'	2.5	4.111	LD	8.23	K09	-5.75	K09	401.281	BA-J,BPM
Sc	1	0	5484.6293	LD	-0.173		LD	Y	U	'  LS                                                                      3d2.(3F).4s   2F'	2.5	1.851	LD	'  LS                                                                     3d2.(3F).4p   2F*'	2.5	4.111	LD	8.23	K09	-5.75	K09	401.281	BA-J,BPM
Sc	1	0	5484.6412	LD	-0.796		LD	Y	U	'  LS                                                                      3d2.(3F).4s   2F'	2.5	1.851	LD	'  LS                                                                     3d2.(3F).4p   2F*'	2.5	4.111	LD	8.23	K09	-5.75	K09	401.281	BA-J,BPM
Fe	1	0	5487.1451	FMW	-1.43	0.08	MRW	U	U	'  LS                                                                  3p6.3d7.(4F).4p z5G*'	3.0	4.415	K07	'  LS                                                                   3p6.3d7.(4F).4d g5F'	3.0	6.674	K07	8.32	K07	-4.69	K07	908.279	BA-J,BPM
Ti	1	0	5490.1477	LGWSC	-0.84		2013ApJS..205...11L	Y	U	'  LS                                                                       3d3.(4F).4s b3F'	4.0	1.46	LGWSC	'  LS                                                                      3d3.(4F).4p x5D*'	3.0	3.718	LGWSC	8.18	K10	-6.1	K10	374.262	BA-J,BPM
Ti	2	0	5490.6928	K10	-2.43		PTP	Y	U	'  LS                                                                               3d3 b2D'	1.5	1.566	K10	'  LS                                                                      3d2.(3F).4p z4F*'	1.5	3.823	K10	8.38	K10	-6.51	K10	-7.84	K10
Ti	1	0	5490.846	K10	-3.35		SK	Y	U	'  LS                                                                           3d2.4s2 a3F'	4.0	0.048	K10	'  LS                                                             3d2.(3F).4s.4p.(3P*) z5D*'	3.0	2.305	K10	6.37	K10	-6.11	K10	251.245	BA-J,BPM
