requested_name,match_name,element,median_value,mean_value,reported_value,catalog_id,catalog_citation,catalog_doi,note,solarnorm,median_uncertainty,std_dev,unique_citations,unique_dois
hd 23249,hd23249,Ba_II,,,0.34,bensby05_raw_01_01_2025,Bensby et al. (2005) (2005),,individual measurement,grevesse07,,,Allende Prieto et al. (2004) (2004); Bensby et al. (2005) (2005); Bensby et al. (2014) (2014); Delgado Mena et al. (2017) (2017); Jofre et al. (2015) (2015); Luck & Heiter (2005) (2005); Luck (2015) (2015); Luck (2017) (2017),
hd 23249,hd23249,Ba_II,,,0.06,bensby14_raw_01_01_2025,Bensby et al. (2014) (2014),,individual measurement,grevesse07,,,Allende Prieto et al. (2004) (2004); Bensby et al. (2005) (2005); Bensby et al. (2014) (2014); Delgado Mena et al. (2017) (2017); Jofre et al. (2015) (2015); Luck & Heiter (2005) (2005); Luck (2015) (2015); Luck (2017) (2017),
hd 23249,hd23249,Ba_II,,,0.08,delgadomena17_raw_01_01_2025,Delgado Mena et al. (2017) (2017),,individual measurement,grevesse07,,,Allende Prieto et al. (2004) (2004); Bensby et al. (2005) (2005); Bensby et al. (2014) (2014); Delgado Mena et al. (2017) (2017); Jofre et al. (2015) (2015); Luck & Heiter (2005) (2005); Luck (2015) (2015); Luck (2017) (2017),
hd 23249,hd23249,Ba_II,,,-0.26,jofre15_raw_01_01_2025,Jofre et al. (2015) (2015),,individual measurement,grevesse07,,,Allende Prieto et al. (2004) (2004); Bensby et al. (2005) (2005); Bensby et al. (2014) (2014); Delgado Mena et al. (2017) (2017); Jofre et al. (2015) (2015); Luck & Heiter (2005) (2005); Luck (2015) (2015); Luck (2017) (2017),
hd 23249,hd23249,Ba_II,,,0.05,luck05_01_of_02_unique_01_01_2025,Luck & Heiter (2005) (2005),,individual measurement,grevesse07,,,Allende Prieto et al. (2004) (2004); Bensby et al. (2005) (2005); Bensby et al. (2014) (2014); Delgado Mena et al. (2017) (2017); Jofre et al. (2015) (2015); Luck & Heiter (2005) (2005); Luck (2015) (2015); Luck (2017) (2017),
hd 23249,hd23249,Ba_II,,,-0.09,luck15_01_of_02_unique_01_01_2025,Luck (2015) (2015),,individual measurement,grevesse07,,,Allende Prieto et al. (2004) (2004); Bensby et al. (2005) (2005); Bensby et al. (2014) (2014); Delgado Mena et al. (2017) (2017); Jofre et al. (2015) (2015); Luck & Heiter (2005) (2005); Luck (2015) (2015); Luck (2017) (2017),
hd 23249,hd23249,Ba_II,,,-0.04,luck17_01_of_02_unique_01_01_2025,Luck (2017) (2017),,individual measurement,grevesse07,,,Allende Prieto et al. (2004) (2004); Bensby et al. (2005) (2005); Bensby et al. (2014) (2014); Delgado Mena et al. (2017) (2017); Jofre et al. (2015) (2015); Luck & Heiter (2005) (2005); Luck (2015) (2015); Luck (2017) (2017),
hd 23249,hd23249,Eu_II,0.23,0.24,,,,,SUMMARY (median/mean),,,,Allende Prieto et al. (2004) (2004); Battistini et al. (2016) (2016); Delgado Mena et al. (2017) (2017); Luck (2015) (2015); Luck (2017) (2017),
hd 23249,hd23249,Eu_II,,,0.36,allendeprieto04_raw_01_01_2025,Allende Prieto et al. (2004) (2004),,individual measurement,grevesse07,,,Allende Prieto et al. (2004) (2004); Battistini et al. (2016) (2016); Delgado Mena et al. (2017) (2017); Luck (2015) (2015); Luck (2017) (2017),
hd 23249,hd23249,Eu_II,,,0.08,battistini16_raw_01_01_2025,Battistini et al. (2016) (2016),,individual measurement,grevesse07,,,Allende Prieto et al. (2004) (2004); Battistini et al. (2016) (2016); Delgado Mena et al. (2017) (2017); Luck (2015) (2015); Luck (2017) (2017),
hd 23249,hd23249,Eu_II,,,0.23,delgadomena17_raw_01_01_2025,Delgado Mena et al. (2017) (2017),,individual measurement,grevesse07,,,Allende Prieto et al. (2004) (2004); Battistini et al. (2016) (2016); Delgado Mena et al. (2017) (2017); Luck (2015) (2015); Luck (2017) (2017),
hd 23249,hd23249,Eu_II,,,0.25,luck15_01_of_02_unique_01_01_2025,Luck (2015) (2015),,individual measurement,grevesse07,,,Allende Prieto et al. (2004) (2004); Battistini et al. (2016) (2016); Delgado Mena et al. (2017) (2017); Luck (2015) (2015); Luck (2017) (2017),
hd 23249,hd23249,Eu_II,,,0.23,luck17_01_of_02_unique_01_01_2025,Luck (2017) (2017),,individual measurement,grevesse07,,,Allende Prieto et al. (2004) (2004); Battistini et al. (2016) (2016); Delgado Mena et al. (2017) (2017); Luck (2015) (2015); Luck (2017) (2017),
hd 23249,hd23249,Y_II,0.28,0.24,,,,,SUMMARY (median/mean),,,,Bensby et al. (2005) (2005); Delgado Mena et al. (2017) (2017); Luck (2017) (2017),
hd 23249,hd23249,Y_II,,,0.28,bensby05_raw_01_01_2025,Bensby et al. (2005) (2005),,individual measurement,grevesse07,,,Bensby et al. (2005) (2005); Delgado Mena et al. (2017) (2017); Luck (2017) (2017),
hd 23249,hd23249,Y_II,,,0.1,delgadomena17_raw_01_01_2025,Delgado Mena et al. (2017) (2017),,individual measurement,grevesse07,,,Bensby et al. (2005) (2005); Delgado Mena et al. (2017) (2017); Luck (2017) (2017),
hd 23249,hd23249,Y_II,,,0.32,luck17_01_of_02_unique_01_01_2025,Luck (2017) (2017),,individual measurement,grevesse07,,,Bensby et al. (2005) (2005); Delgado Mena et al. (2017) (2017); Luck (2017) (2017),
hd 128621,hd128621,Ba_II,0.16,0.19,,,,,SUMMARY (median/mean),,,,Allende Prieto et al. (2004) (2004); Casamiquela et al. (2020) (2020); Luck (2018) (2018); Porto de Mello et al. (2008) (2008),
hd 128621,hd128621,Ba_II,,,0.21,allendeprieto04_raw_01_01_2025,Allende Prieto et al. (2004) (2004),,individual measurement,grevesse07,,,Allende Prieto et al. (2004) (2004); Casamiquela et al. (2020) (2020); Luck (2018) (2018); Porto de Mello et al. (2008) (2008),
hd 128621,hd128621,Ba_II,,,0.01,casamiquela20_raw_22_01_2025,Casamiquela et al. (2020) (2020),,individual measurement,grevesse07,,,Allende Prieto et al. (2004) (2004); Casamiquela et al. (2020) (2020); Luck (2018) (2018); Porto de Mello et al. (2008) (2008),
hd 128621,hd128621,Ba_II,,,0.35,luck18_raw_01_01_2025,Luck (2018) (2018),,individual measurement,grevesse07,,,Allende Prieto et al. (2004) (2004); Casamiquela et al. (2020) (2020); Luck (2018) (2018); Porto de Mello et al. (2008) (2008),
hd 128621,hd128621,Ba_II,,,0.1,portodemello08_raw_01_01_2025,Porto de Mello et al. (2008) (2008),,individual measurement,grevesse07,,,Allende Prieto et al. (2004) (2004); Casamiquela et al. (2020) (2020); Luck (2018) (2018); Porto de Mello et al. (2008) (2008),
hd 128621,hd128621,Eu_II,0.16,0.2,,,,,SUMMARY (median/mean),,,,Allende Prieto et al. (2004) (2004); Casamiquela et al. (2020) (2020); Koch & Edvardsson (2002) (2002); Luck (2018) (2018); Neuforge-Verheecke & Magain (1997) (1997),
