element	wave_A	wave_nm	loggf	EP	species	gamma	gamma6	vdW
22.0	5103.124	510.31239999999997	-1.04	2.736	22.0	0.0	0.0	0.0
62.1	5103.13	510.313	-0.35	1.165	62.1147	0.0	0.0	0.0
27.0	5103.14	510.314	-1.69	4.11	27.0	0.0	0.0	0.0
62.1	5103.145	510.31450000000007	-0.35	1.165	62.1144	0.0	0.0	0.0
60.0	5103.16	510.316	-0.51	0.0	60.0	0.0	0.0	0.0
112.1	5103.246	510.32460000000003	-0.291	0.384	112.00124	0.0	0.0	0.0
106.1	5103.265	510.3265	-6.85	1.538	106.00112	0.0	0.0	0.0
112.1	5103.293	510.3293	-1.837	0.384	112.00124	0.0	0.0	0.0
25.1	5103.317	510.3317	-2.77	6.666	25.1	0.0	0.0	0.0
112.1	5103.334	510.3334	-2.676	0.544	112.00124	0.0	0.0	0.0
112.1	5103.378	510.33779999999996	-0.119	0.544	112.00124	0.0	0.0	0.0
26.0	5103.398	510.3398	-2.11	4.984	26.0	0.0	0.0	0.0
106.1	5103.425	510.34250000000003	-7.195	2.054	106.00113	0.0	0.0	0.0
106.1	5103.439	510.3439	-3.779	1.968	106.00113	0.0	0.0	0.0
106.1	5103.442	510.3442	-6.305	2.215	106.00113	0.0	0.0	0.0
33.0	5103.444	510.34440000000006	-0.2	6.394	33.0	0.0	0.0	0.0
64.0	5103.457	510.3457	0.52	0.985	64.0	0.0	0.0	0.0
22.0	5103.468	510.3468	-2.18	2.47	22.0	0.0	0.0	0.0
106.1	5103.473	510.3473	-3.199	1.078	106.00113	0.0	0.0	0.0
76.0	5103.499	510.3499	-2.5	1.084	76.0	0.0	0.0	0.0
106.1	5103.522	510.3522	-6.062	1.078	106.00113	0.0	0.0	0.0
22.0	5103.522	510.3522	-3.03	3.389	22.0	0.0	0.0	0.0
106.1	5103.555	510.3555	-2.961	2.347	106.00112	0.0	0.0	0.0
106.1	5103.578	510.35780000000005	-5.729	2.16	106.00112	0.0	0.0	0.0
106.1	5103.585	510.3585	-3.797	1.968	106.00113	0.0	0.0	0.0
106.1	5103.593	510.35929999999996	-5.217	2.347	106.00112	0.0	0.0	0.0
24.0	5103.62	510.36199999999997	-1.42	4.443	24.0	0.0	0.0	0.0
106.1	5103.626	510.36260000000004	-6.018	1.968	106.00113	0.0	0.0	0.0
106.1	5103.637	510.3637	-4.529	2.16	106.00112	0.0	0.0	0.0
106.1	5103.669	510.3669	-5.702	2.347	106.00112	0.0	0.0	0.0
114.1	5103.678	510.3678	-2.681	1.441	114.00128	0.0	0.0	0.0
24.1	5103.689	510.36890000000005	-4.14	6.798	24.1	0.0	0.0	0.0
106.1	5103.7	510.37	-4.294	2.16	106.00112	0.0	0.0	0.0
106.1	5103.706	510.3706	-3.034	2.347	106.00112	0.0	0.0	0.0
106.1	5103.721	510.37209999999993	-10.091	1.547	106.00112	0.0	0.0	0.0
20.0	5103.734	510.37340000000006	-5.96	5.295	20.0	0.0	0.0	0.0
112.1	5103.766	510.37659999999994	-0.252	0.535	112.00124	0.0	0.0	0.0
106.1	5103.773	510.3773	-6.07	1.078	106.00113	0.0	0.0	0.0
106.1	5103.795	510.3795	-3.717	0.997	106.00113	0.0	0.0	0.0
112.1	5103.803	510.3803	-2.636	0.535	112.00124	0.0	0.0	0.0
106.1	5103.815	510.38149999999996	-8.658	0.997	106.00113	0.0	0.0	0.0
106.1	5103.823	510.38230000000004	-3.123	1.078	106.00113	0.0	0.0	0.0
112.1	5103.887	510.3887	-1.53	0.355	112.00124	0.0	0.0	0.0
112.1	5103.901	510.39009999999996	-0.254	0.384	112.00124	0.0	0.0	0.0
23.0	5103.906	510.3906	-2.23	2.357	23.0	0.0	0.0	0.0
24.1	5103.999	510.3999	-6.2	4.009	24.1	0.0	0.0	0.0
26.0	5104.03	510.40299999999996	-2.87	3.015	26.0	0.0	0.0	0.0
106.1	5104.036	510.4036	-4.164	1.875	106.00112	0.0	0.0	0.0
112.1	5104.057	510.40569999999997	-0.017	0.284	112.00124	0.0	0.0	0.0
114.1	5104.057	510.40569999999997	-3.562	1.214	114.00128	0.0	0.0	0.0
25.0	5104.059	510.40590000000003	-5.93	3.769	25.0	0.0	0.0	0.0
62.1	5104.08	510.408	-1.0	1.265	62.1	0.0	0.0	0.0
112.1	5104.136	510.41360000000003	-1.998	0.284	112.00124	0.0	0.0	0.0
112.1	5104.166	510.4166	-0.017	0.283	112.00125	0.0	0.0	0.0
20.0	5104.181	510.4181	-5.7	5.296	20.0	0.0	0.0	0.0
26.0	5104.19	510.419	-1.97	4.175	26.0	0.0	0.0	0.0
24.1	5104.255	510.4255	-4.01	6.863	24.1	0.0	0.0	0.0
112.1	5104.266	510.42659999999995	-0.017	0.283	112.00126	0.0	0.0	0.0
106.1	5104.275	510.42749999999995	-9.009	2.003	106.00113	0.0	0.0	0.0
24.0	5104.277	510.4277	-3.85	3.886	24.0	0.0	0.0	0.0
106.1	5104.283	510.42830000000004	-6.388	1.875	106.00112	0.0	0.0	0.0
114.1	5104.305	510.43050000000005	-3.562	1.214	114.00128	0.0	0.0	0.0
106.1	5104.385	510.43850000000003	-4.178	1.875	106.00112	0.0	0.0	0.0
106.1	5104.416	510.4416	-6.317	2.165	106.00112	0.0	0.0	0.0
62.1	5104.431	510.44309999999996	-0.65	0.997	62.1154	0.0	0.0	0.0
22.0	5104.432	510.4432	-4.99	2.235	22.0	0.0	0.0	0.0
74.1	5104.432	510.4432	-0.91	2.353	74.1	0.0	0.0	0.0
26.0	5104.438	510.4438	-1.69	4.28	26.0	0.0	0.0	0.0
62.1	5104.447	510.4447	-0.65	0.997	62.1152	0.0	0.0	0.0
62.1	5104.48	510.448	-2.456	0.997	62.1149	0.0	0.0	0.0
62.1	5104.481	510.44809999999995	-2.171	0.997	62.1149	0.0	0.0	0.0
